"","state","solution_level","fw_kg_per_capita","scenario","conversion_factor","diversion_potential_kg_per_capita"
"102","CO","Prevention",241.31121,"alternative","low",0.410078824465992
"103","CO","Prevention",241.31121,"baseline","high",0.262818417227969
"104","CO","Prevention",241.31121,"baseline","low",0.131409208613985
"105","CO","Rescue",241.31121,"alternative","high",1.68761098400008
"106","CO","Rescue",241.31121,"alternative","low",0.843805492000041
"107","CO","Rescue",241.31121,"baseline","high",0.97305593586783
"108","CO","Rescue",241.31121,"baseline","low",0.486527967933915
"109","CO","Animal Feed",241.31121,"alternative","high",2.28935288424491
"110","CO","Animal Feed",241.31121,"alternative","low",1.14467644212246
"111","CO","Animal Feed",241.31121,"baseline","high",2.28935288424491
"112","CO","Animal Feed",241.31121,"baseline","low",1.14467644212246
"113","CO","Recycling",241.31121,"alternative","high",19.6146090028371
"114","CO","Recycling",241.31121,"alternative","low",9.80730450141857
"115","CO","Recycling",241.31121,"baseline","high",16.8989992593098
"116","CO","Recycling",241.31121,"baseline","low",8.44949962965492
"117","CO","All",241.31121,"alternative","high",24.4117305200141
"118","CO","All",241.31121,"alternative","low",12.2058652600071
"119","CO","All",241.31121,"baseline","high",20.4242264966506
"120","CO","All",241.31121,"baseline","low",10.2121132483253
"121","CT","Prevention",187.787295,"alternative","high",4.07786646466144
"122","CT","Prevention",187.787295,"alternative","low",2.03893323233072
"123","CT","Prevention",187.787295,"baseline","high",1.2496694032707
"124","CT","Prevention",187.787295,"baseline","low",0.624834701635349
"125","CT","Rescue",187.787295,"alternative","high",0.920743118754418
"126","CT","Rescue",187.787295,"alternative","low",0.460371559377209
"127","CT","Rescue",187.787295,"baseline","high",0.584597643662113
"128","CT","Rescue",187.787295,"baseline","low",0.292298821831057
"129","CT","Animal Feed",187.787295,"alternative","high",1.41800720328649
"130","CT","Animal Feed",187.787295,"alternative","low",0.709003601643246
"131","CT","Animal Feed",187.787295,"baseline","high",1.41800720328649
"132","CT","Animal Feed",187.787295,"baseline","low",0.709003601643246
"133","CT","Recycling",187.787295,"alternative","high",47.2161089768455
"134","CT","Recycling",187.787295,"alternative","low",23.6080544884227
"135","CT","Recycling",187.787295,"baseline","high",40.2344425940911
"136","CT","Recycling",187.787295,"baseline","low",20.1172212970455
"137","CT","All",187.787295,"alternative","high",53.6327257635478
"138","CT","All",187.787295,"alternative","low",26.8163628817739
