state,solution_level,total_fw_2022,population_2022,factor_low,factor_high,total_fw_2022_tons_per_capita
AL,Prevention,918036,5074296,0.05,0.1,0.181
AL,Rescue,918036,5074296,0.2,0.4,0.181
AL,Animal Feed,918036,5074296,0.05,0.1,0.181
AL,Recycling,918036,5074296,0.1,0.2,0.181
AK,Prevention,119604,733583,0.3,0.6,0.163
AK,Rescue,119604,733583,0.3,0.6,0.163
AK,Animal Feed,119604,733583,0.05,0.1,0.163
AK,Recycling,119604,733583,0.1,0.2,0.163
AR,Prevention,628779,7359197,0.3,0.6,0.085
AR,Rescue,628779,7359197,0.2,0.4,0.085
AR,Animal Feed,628779,7359197,0.05,0.1,0.085
AR,Recycling,628779,7359197,0.1,0.2,0.085
AZ,Prevention,1560824,3045637,0.3,0.6,0.512
AZ,Rescue,1560824,3045637,0.3,0.6,0.512
AZ,Animal Feed,1560824,3045637,0.3,0.6,0.512
AZ,Recycling,1560824,3045637,0.1,0.2,0.512
CA,Prevention,5753594,39029342,0.3,0.6,0.147
CA,Rescue,5753594,39029342,0.5,1,0.147
CA,Animal Feed,5753594,39029342,0.3,0.6,0.147
CA,Recycling,5753594,39029342,0.5,1,0.147
CO,Prevention,1282741,5839926,0.05,0.1,0.220
CO,Rescue,1282741,5839926,0.2,0.4,0.220
CO,Animal Feed,1282741,5839926,0.3,0.6,0.220
CO,Recycling,1282741,5839926,0.1,0.2,0.220
CT,Prevention,642847,3626205,0.3,0.6,0.177
CT,Rescue,642847,3626205,0.2,0.4,0.177
CT,Animal Feed,642847,3626205,0.3,0.6,0.177
CT,Recycling,642847,3626205,0.3,0.6,0.177
DE,Prevention,188948,1018396,0.3,0.6,0.186
DE,Rescue,188948,1018396,0.2,0.4,0.186
DE,Animal Feed,188948,1018396,0.05,0.1,0.186
DE,Recycling,188948,1018396,0.1,0.2,0.186
FL,Prevention,4840540,22244823,0.05,0.1,0.218
FL,Rescue,4840540,22244823,0.2,0.4,0.218
FL,Animal Feed,4840540,22244823,0.3,0.6,0.218
FL,Recycling,4840540,22244823,0.1,0.2,0.218
GA,Prevention,2048554,10912876,0.05,0.1,0.188
GA,Rescue,2048554,10912876,0.2,0.4,0.188
GA,Animal Feed,2048554,10912876,0.05,0.1,0.188
GA,Recycling,2048554,10912876,0.1,0.2,0.188
HI,Prevention,218877,1440196,0.05,0.1,0.152
HI,Rescue,218877,1440196,0.3,0.6,0.152
HI,Animal Feed,218877,1440196,0.3,0.6,0.152
HI,Recycling,218877,1440196,0.1,0.2,0.152
ID,Prevention,250371,1939033,0.3,0.6,0.129
ID,Rescue,250371,1939033,0.2,0.4,0.129
ID,Animal Feed,250371,1939033,0.05,0.1,0.129
ID,Recycling,250371,1939033,0.1,0.2,0.129
IL,Prevention,2106902,12582032,0.05,0.1,0.167
IL,Rescue,2106902,12582032,0.2,0.4,0.167
IL,Animal Feed,2106902,12582032,0.05,0.1,0.167
